Action_Category,Specific_Action,Active_Substance_Code,Active_Substance_Name,Chemical_Class,Mode_of_Action,Application_Method_Dosage,Expected_Result,Efficacy_Level,Target_Crops
SEED_TREATMENT,Growth stimulation,IBA,Indole-3-butyric Acid,Auxin,Rooting hormone,Apply 100-1000 ppm solution for seed soaking 2-6 hours,"Enhanced germination rate, stronger root system",HIGH,"Vegetable crops, ornamentals"
SEED_TREATMENT,Disease protection,Thiamine B1,Thiamine,Vitamin,Enzyme cofactor,Apply 50-200 ppm in seed treatment solution,Improved stress tolerance and disease resistance,MEDIUM,"Cereal crops, legumes"
SEED_TREATMENT,Stress tolerance,Proline,L-Proline,Amino Acid,Osmoprotectant,Apply 100-500 ppm for seed priming,Enhanced drought and salt stress tolerance,HIGH,All crops in stress conditions
SEED_TREATMENT,Antioxidant protection,Ascorbic Acid,Vitamin C,Vitamin,Antioxidant,Apply 100-300 ppm in seed treatment,Protection against oxidative stress,MEDIUM,All crops under stress
FOLIAR_APPLICATION,Growth enhancement,Triacontanol,1-Triacontanol,Biostimulant,Growth stimulator,Apply 0.05-0.2 ppm foliar spray,Increased photosynthesis and yield,HIGH,"All crops, especially in vegetative stage"
FOLIAR_APPLICATION,Stress mitigation,DA-6,Diethylaminoethyl hexanoate,Biostimulant,Growth enhancer,Apply 10-50 ppm foliar spray,Enhanced stress resistance and growth,HIGH,All crops under stress conditions
FOLIAR_APPLICATION,Chlorophyll synthesis,5-ALA,5-Aminolevulinic Acid,Biostimulant,Chlorophyll precursor,Apply 5-25 ppm foliar spray,Enhanced photosynthesis and fruit coloring,MEDIUM,"Fruit crops, vegetables"
FOLIAR_APPLICATION,Nutrient uptake,Chitosan,Chitosan,Biostimulant,Elicitor,"400 mg L foliage was sprayed five times during the growth period at 15, 40, 85, 110, and 135 days after transplanting from December 20",Improved nutrient uptake and disease resistance,MEDIUM,All crops
FOLIAR_APPLICATION,Anti-senescence,6-BAP,6-Benzylaminopurine,Cytokinin,promotes cell division and bud activation.,"well-rooted plantswere sprayed twice with 100ppm (30 mL per plant)and the remainder with an equal volume of distilled water(dH2O) during the vegetative stage with a 1-week interval Afterward, plants were treated with MeJA 200 µM) or EBR(Sigma-Aldrich, USA) solutions (1, or 3µM) during the reproductive phase; at the stages of small green, biggreen, and completely red berries (48h before harvest)","Delayed senescence, maintained green color",HIGH,"Leafy vegetables, ornamentals"
ROOT_DEVELOPMENT,Root growth,Humic Acid,Humic substances,Biostimulant,Root stimulator,Apply 2-5% soil drench or foliar,Enhanced root development and nutrient uptake,MEDIUM,"All crops, especially at establishment"
ROOT_DEVELOPMENT,Mycorrhizal activity,Succinic Acid,Succinic acid,Organic Acid,Metabolic enhancer,Apply 100-500 ppm soil drench,Improved root metabolism and microbial activity,MEDIUM,"Perennial crops, trees"
FRUIT_MANAGEMENT,Fruit set,4-CPA,4-Chlorophenoxyacetic Acid,Auxin,Fruit set promoter,Apply 10-50 ppm spray during flowering,Improved fruit set and reduced drop,HIGH,"Tomatoes, beans, citrus"
FRUIT_MANAGEMENT,Post-harvest,1-MCP,1-Methylcyclopropene,Ethylene inhibitor,Anti-ripening agent,Apply as gas treatment 0.5-3 ppm,Extended shelf life,HIGH,Fruits and vegetables
STRESS_TOLERANCE,Drought stress,Glycine Betaine,Betaine,Osmoprotectant,Stress protector,Apply 100-1000 ppm foliar spray,Enhanced water use efficiency,HIGH,All crops in water stress
STRESS_TOLERANCE,Temperature stress,Brassinolide,24-Epibrassinolide,Brassinosteroid,Stress protector,Apply 0.1-1 ppm foliar spray,"Enhanced heat and cold tolerance; Level decreases during strawberry fruit development, suggesting a role in early stages; Auxin-induced fruit growth and delayed fruit ripening of strawberry",MEDIUM,All crops in extreme temperatures
STRESS_TOLERANCE,Oxidative stress,Tocopherol,Vitamin E,Vitamin,Antioxidant,Apply 50-200 ppm foliar spray,Protection against oxidative damage,MEDIUM,All crops under stress
GROWTH_REGULATION,Height control,Paclobutrazol,Paclobutrazol,Triazole,GA inhibitor,"Apply 0.25-2 g/L soil drench, 75-300mg/l sprayed 35 days after planting.",retardant delay flower development and reduce flower size and reduces vegetative growth. reducing runner development. enhance the photosynthetic capability of strawberry.,HIGH,"Cereals, ornamentals, fruit trees"
GROWTH_REGULATION,Sucker control,Maleic Hydrazide,Maleic hydrazide,Growth inhibitor,Sprouting inhibitor,Apply 2000-8000 ppm spray,Inhibition of unwanted growth,HIGH,"Tobacco, potatoes"
PHOTOSYNTHESIS_ENHANCEMENT,Chlorophyll synthesis,Magnesium,Mg-EDTA,Chelated nutrient,Chlorophyll component,Apply 0.5-2% foliar spray,Enhanced chlorophyll content,HIGH,All crops showing chlorosis
PHOTOSYNTHESIS_ENHANCEMENT,Light utilization,Strobilurins,Azoxystrobin,Fungicide/Biostimulant,Photosynthesis enhancer,Apply as per label for disease control,Improved photosynthetic efficiency,MEDIUM,All crops with fungicide program
PHOTOSYNTHESIS_ENHANCEMENT,Carbon fixation,Carbonic Anhydrase,Zn-containing enzyme,Enzyme,CO2 fixation,Apply Zn foliar 0.5-1%,Enhanced CO2 assimilation,MEDIUM,All crops
SOIL_APPLICATION,Soil conditioning,Humic Acid,Potassium Humate,Biostimulant,Soil conditioner,Apply 2-10 kg/ha soil incorporation,Improved soil structure and CEC,MEDIUM,"All crops, especially degraded soils"
SOIL_APPLICATION,Nutrient availability,Fulvic Acid,Fulvic acid,Biostimulant,Chelator,Apply 1-5 kg/ha with fertilizer,Enhanced nutrient availability and uptake,HIGH,All crops
SOIL_APPLICATION,Microbial activity,Chitosan,Chitosan oligomers,Biostimulant,Microbial enhancer,Apply 1-5 kg/ha soil incorporation,Enhanced beneficial microbial activity,MEDIUM,Organic farming systems
SOIL_APPLICATION,pH adjustment,Organic Acids,Citric acid blend,Organic Acid,pH modifier,Apply 2-10 kg/ha soil drench,Localized pH adjustment for nutrient uptake,MEDIUM,"Alkaline soils, iron deficient crops"
FOLIAR_APPLICATION,Defense signaling,Methyl Jasmonate,MeJA,Jasmonate,Defense activator,Apply 100-500 ppm foliar spray,"Enhanced herbivore and pathogen resistance; As well as reduce the occurrence of gray mold after harvest; Promotes the maturation and development of strawberry fruit during ripening; Increase stress tolerance, reduces chilling injury",HIGH,All crops prone to pest damage
FOLIAR_APPLICATION,Systemic resistance,Methyl Salicylate,MeSA,Phenolic,SAR inducer,Apply 100-300 ppm foliar spray,Systemic acquired resistance activation,MEDIUM,Disease-prone crops
ROOT_DEVELOPMENT,Branching inhibition,Strigolactone analog,rac-GR24,Strigolactone,Branching regulator,Apply 1-10 ppm soil drench,"Controlled shoot branching, enhanced root growth",MEDIUM,"Research applications, specialty crops"
SEED_TREATMENT,Smoke response,Karrikin-1,KAR1,Karrikin,Germination enhancer,Apply 1-10 ppm seed treatment,Enhanced germination in fire-adapted species,MEDIUM,"Native plants, restoration projects"
GROWTH_REGULATION,Cotton defoliation,Thidiazuron,TDZ,Phenylurea cytokinin,activated cytokinin signaling pathways and repressed auxin synthesis genes.,"foliar sprays at a concentration of 50 mg/L. Spraying was done three times at 10-day intervals, 40-days old crop after cutting from mother plnat","TDZ Was the Most Effective Cytokinin (from 6-benzyladenine (BA), kinetin (KT), zeatin (ZT)) TDZ significantly promoted axillary bud outgrowth and overall plant growth. It increased the number of runners and branch crowns, which are vital for vegetative propagation. high cytokinin and low auxin levels favor bud activation. 2. Physiological Trade-offs Despite promoting growth, TDZ reduced chlorophyll, soluble sugar, and starch content in leaves. This suggests a shift in resource allocation toward meristem activation rather than leaf maintenance.",HIGH,Cotton
